User_ID,Age,Height_CM,Weight_KG,BMI,Gender,Fitness_Goal,Available_Hours_Per_Week,Fitness_Experience,Age_Category,BMI_Category,Hours_Category,Activity_Score,Fitness_Level_Class
FIE_00001,26,157.6,68.0,27.4,Female,General Fitness,1.88,Never Exercised,Young Adult,Overweight,Minimal,46.1,Beginner
FIE_00002,63,179.0,91.7,28.6,Male,Weight Loss,2.65,Beginner,Senior,Overweight,Minimal,41.1,Beginner
FIE_00003,51,165.8,56.8,20.7,Female,Muscle Building,5.58,Beginner,Middle Aged,Normal,Moderate,61.2,Intermediate
FIE_00004,32,164.7,55.6,20.5,Female,Weight Loss,4.33,Never Exercised,Adult,Normal,Moderate,54.2,Intermediate
FIE_00005,46,164.1,63.5,23.6,Male,General Fitness,18.88,Beginner,Middle Aged,Normal,High,75.9,Athlete
FIE_00006,55,172.4,79.8,26.9,Male,Weight Loss,2.08,Some Experience,Middle Aged,Overweight,Minimal,50.9,Beginner
FIE_00007,23,173.7,80.1,26.5,Male,Weight Loss,4.13,Some Experience,Young Adult,Overweight,Moderate,56.2,Intermediate
FIE_00008,29,172.8,62.5,20.9,Male,General Fitness,11.48,Advanced,Young Adult,Normal,High,89.3,Athlete
FIE_00009,38,153.0,60.0,25.6,Female,Endurance/Cardio,2.86,Beginner,Adult,Overweight,Minimal,51.9,Beginner
FIE_00010,44,160.5,71.6,27.8,Female,Weight Loss,1.7,Beginner,Adult,Overweight,Minimal,45.7,Beginner
FIE_00011,27,159.8,61.8,24.2,Female,Endurance/Cardio,1.27,Beginner,Young Adult,Normal,Minimal,58.5,Intermediate
FIE_00012,34,160.6,56.7,22.0,Female,Weight Loss,16.15,Beginner,Adult,Normal,High,82.0,Athlete
FIE_00013,38,162.5,82.6,31.3,Female,Muscle Building,3.05,Advanced,Adult,Obese,Moderate,60.2,Intermediate
FIE_00014,60,160.1,56.7,22.1,Male,General Fitness,4.9,Some Experience,Middle Aged,Normal,Moderate,66.4,Advanced
FIE_00015,62,177.0,67.1,21.4,Male,Muscle Building,4.81,Beginner,Senior,Normal,Moderate,54.7,Beginner
FIE_00016,48,166.7,76.4,27.5,Female,Muscle Building,1.76,Beginner,Middle Aged,Overweight,Minimal,42.9,Beginner
FIE_00017,34,159.5,71.8,28.2,Female,General Fitness,2.96,Beginner,Adult,Overweight,Minimal,49.2,Beginner
FIE_00018,30,161.8,69.4,26.5,Female,Weight Loss,6.41,Some Experience,Young Adult,Overweight,Moderate,70.5,Advanced
FIE_00019,66,154.7,53.0,22.2,Female,Muscle Building,10.28,Never Exercised,Senior,Normal,High,62.1,Intermediate
FIE_00020,54,166.6,72.9,26.3,Female,Weight Loss,19.34,Advanced,Middle Aged,Overweight,High,82.4,Athlete
FIE_00021,25,170.6,60.1,20.7,Female,Muscle Building,7.1,Beginner,Young Adult,Normal,High,69.1,Advanced
FIE_00022,34,154.1,45.0,18.9,Female,Muscle Building,2.11,Advanced,Adult,Normal,Minimal,68.2,Advanced
FIE_00023,27,167.8,64.0,22.7,Female,Weight Loss,2.21,Some Experience,Young Adult,Normal,Minimal,64.5,Advanced
FIE_00024,27,161.9,66.8,25.5,Male,Muscle Building,2.87,Some Experience,Young Adult,Overweight,Minimal,63.7,Advanced
FIE_00025,24,164.7,66.4,24.5,Female,Endurance/Cardio,3.38,Some Experience,Young Adult,Normal,Moderate,72.5,Athlete
FIE_00026,19,180.0,89.9,27.8,Male,Muscle Building,2.08,Beginner,Young Adult,Overweight,Minimal,57.5,Intermediate
FIE_00027,29,179.5,70.9,22.0,Male,Weight Loss,2.46,Some Experience,Young Adult,Normal,Minimal,66.1,Advanced
FIE_00028,25,169.7,80.3,27.9,Male,Muscle Building,5.42,Never Exercised,Young Adult,Overweight,Moderate,56.6,Intermediate
FIE_00029,54,163.0,75.9,28.6,Female,Muscle Building,6.79,Some Experience,Middle Aged,Overweight,Moderate,63.4,Intermediate
FIE_00030,19,163.7,63.0,23.5,Male,Weight Loss,6.56,Advanced,Young Adult,Normal,Moderate,79.1,Athlete
FIE_00031,34,175.4,71.4,23.2,Male,Endurance/Cardio,2.96,Never Exercised,Adult,Normal,Minimal,50.9,Beginner
FIE_00032,53,165.2,78.9,28.9,Female,Weight Loss,5.1,Advanced,Middle Aged,Overweight,Moderate,59.1,Intermediate
FIE_00033,20,166.6,49.5,17.8,Other,General Fitness,2.47,Never Exercised,Young Adult,Underweight,Minimal,39.6,Beginner
FIE_00034,36,160.2,59.7,23.3,Female,Endurance/Cardio,1.9,Some Experience,Adult,Normal,Minimal,61.6,Intermediate
FIE_00035,62,177.5,70.1,22.2,Male,Weight Loss,1.72,Beginner,Senior,Normal,Minimal,44.1,Beginner
FIE_00036,60,170.7,92.8,31.8,Male,Muscle Building,5.02,Never Exercised,Middle Aged,Obese,Moderate,39.5,Beginner
FIE_00037,48,161.5,58.3,22.4,Female,General Fitness,6.82,Advanced,Middle Aged,Normal,Moderate,74.3,Athlete
FIE_00038,63,159.3,71.1,28.0,Female,Weight Loss,2.68,Beginner,Senior,Overweight,Minimal,35.6,Beginner
FIE_00039,39,172.4,62.8,21.1,Male,Muscle Building,12.12,Some Experience,Adult,Normal,High,92.8,Athlete
FIE_00040,60,162.5,80.4,30.4,Female,Weight Loss,5.62,Never Exercised,Middle Aged,Obese,Moderate,42.0,Beginner
FIE_00041,31,170.3,68.4,23.6,Male,Weight Loss,12.97,Some Experience,Adult,Normal,High,89.4,Athlete
FIE_00042,45,175.5,71.2,23.1,Male,Weight Loss,6.57,Advanced,Adult,Normal,Moderate,77.6,Athlete
FIE_00043,24,184.4,76.8,22.6,Male,General Fitness,2.39,Beginner,Young Adult,Normal,Minimal,53.6,Intermediate
FIE_00044,28,166.1,58.9,21.3,Female,Muscle Building,6.49,Advanced,Young Adult,Normal,Moderate,83.0,Athlete
FIE_00045,18,150.0,67.2,29.9,Female,Muscle Building,18.96,Some Experience,Young Adult,Overweight,High,85.8,Athlete
FIE_00046,19,166.6,58.7,21.2,Other,Endurance/Cardio,1.0,Some Experience,Young Adult,Normal,Minimal,57.4,Intermediate
FIE_00047,51,181.3,67.2,20.5,Male,Muscle Building,20.0,Never Exercised,Middle Aged,Normal,High,70.0,Advanced
FIE_00048,21,180.4,81.3,25.0,Male,Muscle Building,5.59,Some Experience,Young Adult,Overweight,Moderate,65.5,Advanced
FIE_00049,60,154.7,57.3,23.9,Female,Endurance/Cardio,12.93,Advanced,Middle Aged,Normal,High,90.6,Athlete
FIE_00050,65,172.3,78.4,26.4,Male,Weight Loss,5.09,Some Experience,Senior,Overweight,Moderate,57.5,Beginner
FIE_00051,55,176.3,83.5,26.9,Male,Weight Loss,1.94,Never Exercised,Middle Aged,Overweight,Minimal,34.0,Beginner
FIE_00052,37,155.9,74.5,30.7,Male,General Fitness,1.5,Some Experience,Adult,Obese,Minimal,52.8,Beginner
FIE_00053,44,168.8,87.7,30.8,Male,Endurance/Cardio,1.89,Some Experience,Adult,Obese,Minimal,47.9,Beginner
FIE_00054,23,182.0,75.3,22.8,Male,Muscle Building,6.23,Some Experience,Young Adult,Normal,Moderate,79.5,Athlete
FIE_00055,31,165.1,77.1,28.3,Female,Muscle Building,1.49,Never Exercised,Adult,Overweight,Minimal,40.0,Beginner
FIE_00056,36,166.1,63.0,22.8,Female,Muscle Building,2.41,Some Experience,Adult,Normal,Minimal,63.6,Advanced
FIE_00057,18,154.9,49.6,20.7,Female,General Fitness,17.72,Advanced,Young Adult,Normal,High,98.5,Athlete
FIE_00058,28,166.2,63.1,22.8,Male,Muscle Building,1.11,Beginner,Young Adult,Normal,Minimal,56.2,Intermediate
FIE_00059,48,195.7,120.0,31.3,Male,Weight Loss,13.42,Some Experience,Middle Aged,Obese,High,75.6,Advanced
FIE_00060,35,159.0,54.7,21.7,Male,Endurance/Cardio,4.97,Beginner,Adult,Normal,Moderate,63.3,Advanced
FIE_00061,28,167.5,77.8,27.7,Female,Weight Loss,5.48,Some Experience,Young Adult,Overweight,Moderate,58.8,Intermediate
FIE_00062,24,155.1,49.1,20.4,Female,General Fitness,1.06,Beginner,Young Adult,Normal,Minimal,47.2,Beginner
FIE_00063,29,164.9,62.6,23.0,Male,Muscle Building,1.77,Some Experience,Young Adult,Normal,Minimal,64.1,Advanced
FIE_00064,18,160.7,58.3,22.6,Female,Weight Loss,1.63,Some Experience,Young Adult,Normal,Minimal,59.3,Intermediate
FIE_00065,63,168.7,64.1,22.5,Male,Endurance/Cardio,1.0,Some Experience,Senior,Normal,Minimal,59.1,Intermediate
FIE_00066,43,158.1,71.5,28.6,Female,General Fitness,19.29,Advanced,Adult,Overweight,High,78.9,Athlete
FIE_00067,23,162.0,85.2,32.5,Female,Weight Loss,1.66,Some Experience,Young Adult,Obese,Minimal,53.2,Beginner
FIE_00068,21,166.6,59.1,21.3,Male,Weight Loss,4.79,Beginner,Young Adult,Normal,Moderate,64.3,Advanced
FIE_00069,19,186.6,63.7,18.3,Male,Muscle Building,4.56,Advanced,Young Adult,Underweight,Moderate,67.3,Advanced
FIE_00070,23,174.5,65.5,21.5,Male,Weight Loss,2.22,Beginner,Young Adult,Normal,Minimal,61.0,Advanced
FIE_00071,21,164.1,59.3,22.0,Male,Muscle Building,6.26,Never Exercised,Young Adult,Normal,Moderate,60.6,Advanced
FIE_00072,19,165.5,61.0,22.3,Male,Muscle Building,1.72,Some Experience,Young Adult,Normal,Minimal,60.5,Advanced
FIE_00073,57,166.2,54.6,19.8,Male,Endurance/Cardio,7.27,Some Experience,Middle Aged,Normal,High,70.6,Advanced
FIE_00074,18,171.8,79.4,26.9,Male,Endurance/Cardio,1.0,Beginner,Young Adult,Overweight,Minimal,48.3,Beginner
FIE_00075,53,166.5,78.2,28.2,Male,Endurance/Cardio,5.76,Some Experience,Middle Aged,Overweight,Moderate,60.4,Intermediate
FIE_00076,52,161.3,59.7,22.9,Female,Muscle Building,6.22,Never Exercised,Middle Aged,Normal,Moderate,58.2,Intermediate
FIE_00077,56,163.8,64.2,23.9,Female,Muscle Building,2.86,Beginner,Middle Aged,Normal,Minimal,55.3,Intermediate
FIE_00078,38,157.0,55.0,22.3,Female,Muscle Building,2.63,Some Experience,Adult,Normal,Minimal,63.6,Advanced
FIE_00079,52,168.2,73.7,26.0,Female,Weight Loss,5.22,Never Exercised,Middle Aged,Overweight,Moderate,38.8,Beginner
FIE_00080,55,183.0,94.9,28.4,Male,Weight Loss,15.47,Some Experience,Middle Aged,Overweight,High,76.2,Athlete
FIE_00081,56,178.0,70.0,22.1,Male,Weight Loss,5.96,Advanced,Middle Aged,Normal,Moderate,66.4,Advanced
FIE_00082,25,156.4,54.0,22.1,Male,General Fitness,4.38,Advanced,Young Adult,Normal,Moderate,75.3,Athlete
FIE_00083,29,174.4,61.4,20.2,Male,Muscle Building,4.78,Advanced,Young Adult,Normal,Moderate,75.6,Athlete
FIE_00084,27,185.8,77.5,22.5,Male,Weight Loss,3.08,Some Experience,Young Adult,Normal,Moderate,67.0,Advanced
FIE_00085,48,171.0,65.5,22.4,Female,Weight Loss,3.58,Beginner,Middle Aged,Normal,Moderate,57.6,Intermediate
FIE_00086,37,166.3,76.2,27.6,Female,Weight Loss,2.13,Some Experience,Adult,Overweight,Minimal,56.5,Intermediate
FIE_00087,54,158.5,69.5,27.7,Female,Endurance/Cardio,18.43,Beginner,Middle Aged,Overweight,High,71.6,Advanced
FIE_00088,62,157.4,52.0,21.0,Female,Muscle Building,5.01,Beginner,Senior,Normal,Moderate,51.2,Beginner
FIE_00089,55,179.0,88.5,27.6,Male,Endurance/Cardio,12.39,Never Exercised,Middle Aged,Overweight,High,62.9,Intermediate
FIE_00090,42,172.9,64.1,21.5,Female,Weight Loss,6.52,Beginner,Adult,Normal,Moderate,65.6,Advanced
FIE_00091,49,162.0,70.7,26.9,Female,Muscle Building,18.92,Advanced,Middle Aged,Overweight,High,82.8,Athlete
FIE_00092,37,160.6,69.5,26.9,Female,Muscle Building,12.85,Some Experience,Adult,Overweight,High,85.9,Athlete
FIE_00093,58,188.4,80.1,22.6,Male,General Fitness,6.56,Beginner,Middle Aged,Normal,Moderate,65.0,Advanced
FIE_00094,46,153.5,51.2,21.7,Female,Endurance/Cardio,13.52,Some Experience,Middle Aged,Normal,High,82.5,Athlete
FIE_00095,41,169.4,63.4,22.1,Male,General Fitness,4.89,Beginner,Adult,Normal,Moderate,61.9,Intermediate
FIE_00096,61,179.7,72.9,22.6,Male,Weight Loss,1.91,Beginner,Senior,Normal,Minimal,49.4,Beginner
FIE_00097,36,156.7,54.2,22.1,Female,Endurance/Cardio,12.05,Never Exercised,Adult,Normal,High,78.6,Athlete
FIE_00098,55,156.3,64.8,26.6,Female,General Fitness,4.15,Some Experience,Middle Aged,Overweight,Moderate,58.0,Intermediate
FIE_00099,19,170.9,67.2,23.0,Female,Weight Loss,4.3,Some Experience,Young Adult,Normal,Moderate,68.0,Advanced
FIE_00100,22,175.1,70.5,23.0,Male,General Fitness,4.28,Advanced,Young Adult,Normal,Moderate,74.3,Athlete
FIE_00101,23,172.1,64.1,21.6,Male,General Fitness,2.42,Some Experience,Young Adult,Normal,Minimal,65.7,Advanced
FIE_00102,68,160.6,54.5,21.1,Female,Muscle Building,6.98,Some Experience,Senior,Normal,Moderate,68.0,Advanced
FIE_00103,29,174.0,67.9,22.4,Male,Endurance/Cardio,5.22,Beginner,Young Adult,Normal,Moderate,65.6,Advanced
