User_ID,Age,Height_CM,Weight_KG,BMI,Gender,Fitness_Goal,Available_Hours_Per_Week,Fitness_Experience,Age_Category,BMI_Category,Hours_Category,Activity_Score,Fitness_Level_Class
FIT_00001,24.0,161.8,88.8,33.9,Female,General Fitness,3.46,Some Experience,Young Adult,Obese,Moderate,53.5,Beginner
FIT_00002,38.0,182.9,94.5,28.2,Male,General Fitness,6.77,Beginner,Adult,Overweight,Moderate,58.4,Intermediate
FIT_00003,32.0,162.0,58.0,22.1,Female,Endurance/Cardio,5.6,Advanced,Adult,Normal,Moderate,77.6,Athlete
FIT_00004,23.0,178.1,71.8,22.6,Male,General Fitness,3.79,Beginner,Young Adult,Normal,Moderate,65.7,Advanced
FIT_00005,32.0,170.6,61.1,21.0,Male,Weight Loss,3.79,Beginner,Adult,Normal,Moderate,59.5,Intermediate
FIT_00006,28.0,182.4,68.1,20.5,Male,General Fitness,4.74,Beginner,Young Adult,Normal,Moderate,67.9,Advanced
FIT_00007,62.0,150.6,72.0,31.7,Female,Endurance/Cardio,11.02,Never Exercised,Senior,Obese,High,47.4,Beginner
FIT_00008,27.0,171.8,61.5,20.8,Male,General Fitness,3.43,Beginner,Young Adult,Normal,Moderate,56.9,Intermediate
FIT_00009,43.0,163.5,74.1,27.7,Male,Muscle Building,5.23,Advanced,Adult,Overweight,Moderate,68.9,Advanced
FIT_00010,55.0,169.7,84.5,29.3,Female,Weight Loss,2.62,Advanced,Middle Aged,Overweight,Minimal,57.4,Intermediate
FIT_00011,64.0,161.0,73.5,28.4,Female,General Fitness,6.59,Beginner,Senior,Overweight,Moderate,46.3,Beginner
FIT_00012,34.0,173.7,66.5,22.0,Male,Muscle Building,1.05,Advanced,Adult,Normal,Minimal,62.7,Advanced
FIT_00013,28.0,166.3,79.1,28.6,Female,Muscle Building,1.41,Some Experience,Young Adult,Overweight,Minimal,55.1,Intermediate
FIT_00014,51.0,164.8,65.6,24.2,Male,Weight Loss,15.01,Beginner,Middle Aged,Normal,High,76.1,Athlete
FIT_00015,19.0,156.4,53.9,22.0,Female,Muscle Building,3.29,Beginner,Young Adult,Normal,Moderate,63.1,Advanced
FIT_00016,41.0,167.4,74.8,26.7,Female,General Fitness,8.12,Advanced,Adult,Overweight,High,75.1,Athlete
FIT_00017,56.0,175.9,104.8,33.9,Male,Endurance/Cardio,13.84,Some Experience,Middle Aged,Obese,High,78.2,Athlete
FIT_00018,32.0,174.8,78.8,25.8,Male,Weight Loss,4.39,Some Experience,Adult,Overweight,Moderate,61.1,Intermediate
FIT_00019,26.0,174.2,64.2,21.2,Male,Weight Loss,1.62,Beginner,Young Adult,Normal,Minimal,55.6,Intermediate
FIT_00020,36.0,171.3,91.7,31.3,Female,Muscle Building,2.73,Advanced,Adult,Obese,Minimal,60.5,Intermediate
FIT_00021,64.0,182.2,79.1,23.8,Male,Muscle Building,3.73,Never Exercised,Senior,Normal,Moderate,41.3,Beginner
FIT_00022,39.0,179.9,85.3,26.4,Male,General Fitness,1.95,Beginner,Adult,Overweight,Minimal,47.7,Beginner
